AST-2824,5.36,4333.3,9,80,11
AST-1409,1.37,3466.3,38,8,54
AST-5506,2.88,3060.3,29,67,4
AST-5012,1.98,2855.5,60,1,39
AST-4657,4.86,749.8,56,44,0
AST-3286,5.33,3889.3,21,14,65
AST-2679,2.27,959.2,0,33,67
AST-9935,6.81,3857.4,32,13,55
AST-2424,6.13,1632.5,40,60,0
AST-7912,4.38,933.6,48,20,32
AST-1520,3.91,3937.4,33,0,67
AST-1488,4.31,2545.3,7,46,47
AST-2535,6.19,4192.0,19,30,51
AST-4582,0.69,4414.4,60,10,30
AST-4811,0.87,2532.8,4,68,28
AST-9279,5.43,816.3,30,70,0
AST-1434,1.41,2732.8,38,54,8
AST-4257,6.76,4658.8,48,25,27
AST-9928,5.08,2115.2,42,47,11
AST-7873,3.24,2684.4,7,31,62
AST-4611,1.81,1822.8,37,63,0
AST-8359,1.84,1257.0,4,80,16
AST-5557,0.69,523.5,2,42,56
AST-1106,0.77,1342.4,42,58,0
AST-3615,1.74,835.1,59,41,0
AST-7924,4.16,1366.4,30,52,18
AST-6574,1.58,665.3,27,45,28
AST-5552,3.14,2441.7,46,6,48
AST-3547,4.81,4924.0,6,7,87
AST-4527,3.0,1828.7,55,13,32
AST-6514,1.97,1113.0,28,17,55
AST-2674,3.13,1537.0,15,9,76
AST-2519,3.27,4334.5,35,12,53
AST-7224,0.64,4996.6,53,1,46
AST-2584,6.79,4646.6,54,30,16
AST-6881,1.41,2531.1,13,51,36
AST-6635,6.35,990.3,0,49,51
AST-5333,2.08,3963.5,29,36,35
AST-1711,3.13,4795.1,50,50,0
AST-8527,4.73,2536.0,12,37,51
AST-9785,1.76,480.7,47,53,0
AST-3045,0.71,1705.3,3,74,23
AST-7201,3.49,4613.1,33,20,47
AST-2291,0.68,2637.6,54,23,23
AST-5803,0.76,526.2,55,30,15
AST-6925,3.01,4719.7,36,31,33
AST-4150,4.18,390.8,5,53,42
AST-2139,4.7,2913.1,20,33,47
AST-1750,1.67,3637.7,15,33,52
AST-4733,2.95,3424.1,19,58,23
AST-5741,2.42,3808.9,4,1,95
AST-2307,3.37,4992.6,6,9,85
AST-4814,3.9,2628.2,8,44,48
AST-2654,6.2,4420.5,23,36,41
AST-7227,1.36,4202.0,45,38,17
AST-5554,4.4,4938.7,41,59,0
AST-8428,0.35,4122.1,19,13,68
AST-6977,6.59,844.6,7,13,80
AST-3664,5.27,946.1,18,77,5
AST-7065,1.71,1845.8,43,33,24
AST-6820,3.69,1405.4,58,6,36
AST-4432,0.92,2233.2,17,5,78
AST-5374,0.32,3901.4,40,33,27
AST-2169,1.38,2320.8,45,54,1
AST-3803,4.06,737.0,60,19,21
AST-9751,3.96,4206.1,37,63,0
AST-5010,1.29,811.7,19,46,35
AST-3677,6.32,4021.4,55,5,40
AST-8573,6.32,1208.4,15,13,72
AST-7216,2.67,2887.4,55,45,0
AST-5422,6.82,3797.5,59,30,11
AST-4598,6.09,4885.8,51,22,27
AST-6313,6.21,319.0,47,42,11
AST-1916,5.54,2176.2,42,31,27
AST-4752,2.09,3979.4,6,48,46
AST-1525,6.14,4321.2,14,25,61
AST-6168,5.77,2409.5,19,29,52
AST-7572,1.79,3368.2,25,42,33
AST-5386,2.17,533.2,49,35,16
AST-2084,2.65,2645.1,43,57,0
AST-4456,2.52,332.5,56,33,11
AST-6155,1.5,4820.2,16,4,80
AST-4483,1.03,2285.9,46,40,14
AST-9179,3.22,4924.3,7,49,44
AST-7482,6.33,1112.4,2,55,43
AST-8517,0.31,4642.8,34,25,41
AST-3340,2.74,535.9,42,42,16
AST-5339,4.48,3384.3,7,38,55
AST-3287,3.7,3401.1,20,51,29
AST-5040,4.97,2861.2,12,53,35
AST-9830,4.76,2019.9,47,22,31
AST-5304,4.42,1644.6,35,0,65
AST-8019,2.34,1208.9,50,50,0
AST-7543,4.36,1746.8,28,56,16
AST-6930,4.83,2653.6,50,21,29
AST-4593,4.71,1562.2,42,58,0
AST-3266,2.55,4128.4,48,30,22
AST-9348,4.81,1278.3,12,18,70
AST-9085,0.46,1375.2,30,70,0
AST-2489,5.99,549.6,26,74,0
